Name,Label,Domain,Range,URI,Count,MVE,OE
manufactory,manufactory,owl:Thing,Factory,http://dbpedia.org/ontology/manufactory,86,what is the manufactory of <A>,what is the manufactory of <A>
manufacturer,manufacturer,owl:Thing,Organisation,http://dbpedia.org/ontology/manufacturer,38671,what is the manufacturer of <A>,what is the manufacturer of <A>
map,map,Place,owl:Thing,http://dbpedia.org/ontology/map,122,what is the map of <A>,what is the map of <A>
mapCaption,map caption,Place,xsd:string,http://dbpedia.org/ontology/mapCaption,51,what is the map caption of <A>,what is the map caption of <A>
mascot,mascot,owl:Thing,xsd:string,http://dbpedia.org/ontology/mascot,15208,what is the mascot of <A>,what is the mascot of <A>
mass,mass,owl:Thing,Mass,http://dbpedia.org/ontology/mass,274,what is the mass of <A>,what is the mass of <A>
material,material,owl:Thing,owl:Thing,http://dbpedia.org/ontology/material,384,what is the material of <A>,what is the material of <A>
maximumDepth,maximum depth,Place,Length,http://dbpedia.org/ontology/maximumDepth,5251,what is the maximum depth of <A>,what is the maximum depth of <A>
maximumElevation,maximum elevation,Place,Length,http://dbpedia.org/ontology/maximumElevation,40355,what is the maximum elevation of <A>,what is the maximum elevation of <A>
mayor,mayor,owl:Thing,Mayor,http://dbpedia.org/ontology/mayor,417,what is the mayor of <A>,what is the mayor of <A>
mbaId,MBA Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/mbaId,65,what is the MBA Id of <A>,what is the MBA Id of <A>
meaning,meaning,owl:Thing,xsd:string,http://dbpedia.org/ontology/meaning,3549,what is the meaning of <A>,what is the meaning of <A>
medlinePlus,MedlinePlus,owl:Thing,xsd:string,http://dbpedia.org/ontology/medlinePlus,2794,what is the MedlinePlus of <A>,what is the MedlinePlus of <A>
militaryUnitSize,military unit size,owl:Thing,xsd:string,http://dbpedia.org/ontology/militaryUnitSize,9339,what is the military unit size of <A>,what is the military unit size of <A>
minimumElevation,minimum elevation,Place,Length,http://dbpedia.org/ontology/minimumElevation,39499,what is the minimum elevation of <A>,what is the minimum elevation of <A>
minister,minister,owl:Thing,Politician,http://dbpedia.org/ontology/minister,1749,what is the minister of <A>,what is the minister of <A>
mission,mission,owl:Thing,SpaceMission,http://dbpedia.org/ontology/mission,564,what is the mission of <A>,what is the mission of <A>
monarch,monarch,owl:Thing,Person,http://dbpedia.org/ontology/monarch,735,who is the monarch of <A>,who is the monarch of <A>
month,month,owl:Thing,xsd:string,http://dbpedia.org/ontology/month,88,what is the month of <A>,what is the month of <A>
motto,motto,owl:Thing,xsd:string,http://dbpedia.org/ontology/motto,43839,what is the motto of <A>,what is the motto of <A>
mouthElevation,mouth elevation,owl:Thing,Length,http://dbpedia.org/ontology/mouthElevation,10370,what is the mouth elevation of <A>,what is the mouth elevation of <A>
municipality,municipality,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/municipality,784,what is the municipality of <A>,what is the municipality of <A>
municipalityCode,municipality code,Place,xsd:string,http://dbpedia.org/ontology/municipalityCode,2782,what is the municipality code of <A>,what is the municipality code of <A>
name,name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/name,1453,what is the name of <A>,what is the name of <A>
namedAfter,named after,owl:Thing,owl:Thing,http://dbpedia.org/ontology/namedAfter,3426,what is the named after of <A>,what is the named after of <A>
nationalTopographicSystemMapNumber,National Topographic System map number,Place,xsd:string,http://dbpedia.org/ontology/nationalTopographicSystemMapNumber,7367,what is the National Topographic System map number of <A>,what is the National Topographic System map number of <A>
ndlId,NDL id,owl:Thing,xsd:string,http://dbpedia.org/ontology/ndlId,26,what is the NDL id of <A>,what is the NDL id of <A>
nearestCity,nearest city,Place,PopulatedPlace,http://dbpedia.org/ontology/nearestCity,18022,what is the nearest city of <A>,what is the nearest city of <A>
newspaper,newspaper,owl:Thing,PeriodicalLiterature,http://dbpedia.org/ontology/newspaper,1,what is the newspaper of <A>,what is the newspaper of <A>
nlaId,NLA Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/nlaId,18,what is the NLA Id of <A>,what is the NLA Id of <A>
nominee,nominee,owl:Thing,Person,http://dbpedia.org/ontology/nominee,18,who is the nominee of <A>,who is the nominee of <A>
notableWork,notable work,owl:Thing,Work,http://dbpedia.org/ontology/notableWork,5954,what is the notable work of <A>,what is the notable work of <A>
notes,notes,owl:Thing,xsd:string,http://dbpedia.org/ontology/notes,516,what is the notes of <A>,what is the notes of <A>
number,number,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/number,89441,what is the number of <A>,what is the number of <A>
numberOfVisitors,number of visitors,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/numberOfVisitors,2039,what is the number of visitors of <A>,what is the number of visitors of <A>
occupation,occupation,owl:Thing,PersonFunction,http://dbpedia.org/ontology/occupation,293862,who is the occupation of <A>,who is the occupation of <A>
office,(political) office,owl:Thing,xsd:string,http://dbpedia.org/ontology/office,220717,what is the (political) office of <A>,what is the (political) office of <A>
openingDate,opening date,owl:Thing,xsd:date,http://dbpedia.org/ontology/openingDate,37980,what is the opening date of <A>,what is the opening date of <A>
openingYear,opening year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/openingYear,53121,what is the opening year of <A>,what is the opening year of <A>
operator,operator,owl:Thing,owl:Thing,http://dbpedia.org/ontology/operator,22766,what is the operator of <A>,what is the operator of <A>
orbits,orbits,owl:Thing,xsd:integer,http://dbpedia.org/ontology/orbits,1,what is the orbits of <A>,what is the orbits of <A>
orcidId,ORCID Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/orcidId,89,what is the ORCID Id of <A>,what is the ORCID Id of <A>
orderInOffice,order in office,owl:Thing,xsd:string,http://dbpedia.org/ontology/orderInOffice,8425,what is the order in office of <A>,what is the order in office of <A>
organisation,organisation,owl:Thing,Organisation,http://dbpedia.org/ontology/organisation,501,what is the organisation of <A>,what is the organisation of <A>
origin,origin,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/origin,10790,what is the origin of <A>,what is the origin of <A>
originalName,original name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/originalName,143654,what is the original name of <A>,what is the original name of <A>
originallyUsedFor,originally used for,owl:Thing,xsd:string,http://dbpedia.org/ontology/originallyUsedFor,61,what is the originally used for of <A>,what is the originally used for of <A>
owner,owner,owl:Thing,Agent,http://dbpedia.org/ontology/owner,75264,what is the owner of <A>,what is the owner of <A>
owningCompany,owning company,owl:Thing,Company,http://dbpedia.org/ontology/owningCompany,12936,what is the owning company of <A>,what is the owning company of <A>
owningOrganisation,owning organisation,owl:Thing,Organisation,http://dbpedia.org/ontology/owningOrganisation,19563,what is the owning organisation of <A>,what is the owning organisation of <A>
parentCompany,parent company,owl:Thing,Company,http://dbpedia.org/ontology/parentCompany,15298,what is the parent company of <A>,what is the parent company of <A>
part,part,owl:Thing,owl:Thing,http://dbpedia.org/ontology/part,4018,what is the part of <A>,what is the part of <A>
partialFailedLaunches,partial failed launches,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/partialFailedLaunches,92,what is the partial failed launches of <A>,what is the partial failed launches of <A>
party,party,owl:Thing,PoliticalParty,http://dbpedia.org/ontology/party,128760,what is the party of <A>,what is the party of <A>
patronSaint,patron saint,owl:Thing,Person,http://dbpedia.org/ontology/patronSaint,406,who is the patron saint of <A>,who is the patron saint of <A>
percentageOfAreaWater,percentage of area water,owl:Thing,xsd:float,http://dbpedia.org/ontology/percentageOfAreaWater,10392,what is the percentage of area water of <A>,what is the percentage of area water of <A>
picture,picture,owl:Thing,owl:Thing,http://dbpedia.org/ontology/picture,4219,what is the picture of <A>,what is the picture of <A>
place,Relates an entity to the populated place in which it is located.,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/place,16679,what is the Relates an entity to the populated place in which it is located. of <A>,what is the Relates an entity to the populated place in which it is located. of <A>
politicalLeader,political leader,Place,PersonFunction,http://dbpedia.org/ontology/politicalLeader,67019,who is the political leader of <A>,who is the political leader of <A>
populationTotal,population total,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/populationTotal,317577,what is the population total of <A>,what is the population total of <A>
portfolio,portfolio,owl:Thing,xsd:string,http://dbpedia.org/ontology/portfolio,278,what is the portfolio of <A>,what is the portfolio of <A>
position,position,owl:Thing,owl:Thing,http://dbpedia.org/ontology/position,307787,what is the position of <A>,what is the position of <A>
postalCode,postal code,owl:Thing,xsd:string,http://dbpedia.org/ontology/postalCode,216510,what is the postal code of <A>,what is the postal code of <A>
predecessor,predecessor,owl:Thing,owl:Thing,http://dbpedia.org/ontology/predecessor,215981,what is the predecessor of <A>,what is the predecessor of <A>
president,president,owl:Thing,Person,http://dbpedia.org/ontology/president,30535,who is the president of <A>,who is the president of <A>
primeMinister,prime minister,owl:Thing,Person,http://dbpedia.org/ontology/primeMinister,28726,who is the prime minister of <A>,who is the prime minister of <A>
productionEndDate,production end date,owl:Thing,xsd:date,http://dbpedia.org/ontology/productionEndDate,22,what is the production end date of <A>,what is the production end date of <A>
productionEndYear,production end year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/productionEndYear,10212,what is the production end year of <A>,what is the production end year of <A>
productionStartDate,production start date,owl:Thing,xsd:date,http://dbpedia.org/ontology/productionStartDate,33,what is the production start date of <A>,what is the production start date of <A>
productionStartYear,production start year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/productionStartYear,13055,what is the production start year of <A>,what is the production start year of <A>
prominence,prominence,owl:Thing,Length,http://dbpedia.org/ontology/prominence,9185,what is the prominence of <A>,what is the prominence of <A>
pronunciation,pronunciation,owl:Thing,xsd:string,http://dbpedia.org/ontology/pronunciation,71,what is the pronunciation of <A>,what is the pronunciation of <A>
province,province,Place,Province,http://dbpedia.org/ontology/province,14478,what is the province of <A>,what is the province of <A>
publicationDate,publication date,owl:Thing,xsd:date,http://dbpedia.org/ontology/publicationDate,5066,what is the publication date of <A>,what is the publication date of <A>
purpose,purpose,owl:Thing,xsd:string,http://dbpedia.org/ontology/purpose,9504,what is the purpose of <A>,what is the purpose of <A>
quote,quote,Place,xsd:string,http://dbpedia.org/ontology/quote,735,what is the quote of <A>,what is the quote of <A>
race,race,owl:Thing,Race,http://dbpedia.org/ontology/race,5844,what is the race of <A>,what is the race of <A>
raceHorse,race horse,owl:Thing,Horse,http://dbpedia.org/ontology/raceHorse,945,what is the race horse of <A>,what is the race horse of <A>
rating,rating,owl:Thing,xsd:float,http://dbpedia.org/ontology/rating,260,what is the rating of <A>,what is the rating of <A>
rebuildDate,rebuild date,owl:Thing,xsd:date,http://dbpedia.org/ontology/rebuildDate,7,what is the rebuild date of <A>,what is the rebuild date of <A>
recordLabel,record label,owl:Thing,RecordLabel,http://dbpedia.org/ontology/recordLabel,107946,what is the record label of <A>,what is the record label of <A>
region,region,owl:Thing,Place,http://dbpedia.org/ontology/region,21787,what is the region of <A>,what is the region of <A>
registry,registry,owl:Thing,xsd:string,http://dbpedia.org/ontology/registry,355,what is the registry of <A>,what is the registry of <A>
related,related,owl:Thing,owl:Thing,http://dbpedia.org/ontology/related,9839,what is the related of <A>,what is the related of <A>
releaseDate,release date,owl:Thing,xsd:date,http://dbpedia.org/ontology/releaseDate,135968,what is the release date of <A>,what is the release date of <A>
religion,religion,owl:Thing,owl:Thing,http://dbpedia.org/ontology/religion,22301,what is the religion of <A>,what is the religion of <A>
religiousHead,religious head,owl:Thing,Person,http://dbpedia.org/ontology/religiousHead,52,who is the religious head of <A>,who is the religious head of <A>
restoreDate,restore date,owl:Thing,xsd:date,http://dbpedia.org/ontology/restoreDate,40,what is the restore date of <A>,what is the restore date of <A>
restriction,restriction,owl:Thing,xsd:string,http://dbpedia.org/ontology/restriction,337,what is the restriction of <A>,what is the restriction of <A>
retired,retired,owl:Thing,xsd:date,http://dbpedia.org/ontology/retired,238,what is the retired of <A>,what is the retired of <A>
ridId,RID Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/ridId,2,what is the RID Id of <A>,what is the RID Id of <A>
river,river,Place,River,http://dbpedia.org/ontology/river,2371,what is the river of <A>,what is the river of <A>
role,role,owl:Thing,xsd:string,http://dbpedia.org/ontology/role,10792,what is the role of <A>,what is the role of <A>
runningMate,running mate,owl:Thing,Person,http://dbpedia.org/ontology/runningMate,9,who is the running mate of <A>,who is the running mate of <A>
sales,sales,owl:Thing,Sales,http://dbpedia.org/ontology/sales,206,what is the sales of <A>,what is the sales of <A>
secondLeader,secondLeader,owl:Thing,Person,http://dbpedia.org/ontology/secondLeader,4501,who is the secondLeader of <A>,who is the secondLeader of <A>
secondPopularVote,secondPopularVote,owl:Thing,Person,http://dbpedia.org/ontology/secondPopularVote,57,who is the secondPopularVote of <A>,who is the secondPopularVote of <A>
selibrId,SELIBR Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/selibrId,5,what is the SELIBR Id of <A>,what is the SELIBR Id of <A>
seniority,seniority,owl:Thing,xsd:string,http://dbpedia.org/ontology/seniority,1629,what is the seniority of <A>,what is the seniority of <A>
series,series,owl:Thing,owl:Thing,http://dbpedia.org/ontology/series,21198,what is the series of <A>,what is the series of <A>
show,show,owl:Thing,TelevisionShow,http://dbpedia.org/ontology/show,2,what is the show of <A>,what is the show of <A>
similar,similar,owl:Thing,owl:Thing,http://dbpedia.org/ontology/similar,605,what is the similar of <A>,what is the similar of <A>
slogan,slogan,owl:Thing,rdf:langString,http://dbpedia.org/ontology/slogan,16779,what is the slogan of <A>,what is the slogan of <A>
soundRecording,sound recording,owl:Thing,Sound,http://dbpedia.org/ontology/soundRecording,9999,what is the sound recording of <A>,what is the sound recording of <A>
sourceElevation,source elevation,owl:Thing,Length,http://dbpedia.org/ontology/sourceElevation,1,what is the source elevation of <A>,what is the source elevation of <A>
sourceMountain,source mountain,owl:Thing,Mountain,http://dbpedia.org/ontology/sourceMountain,2,what is the source mountain of <A>,what is the source mountain of <A>
sourcePlace,source place,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/sourcePlace,2,what is the source place of <A>,what is the source place of <A>
sourcePosition,source position,owl:Thing,geo:SpatialThing,http://dbpedia.org/ontology/sourcePosition,1,what is the source position of <A>,what is the source position of <A>
speaker,speaker,owl:Thing,xsd:integer,http://dbpedia.org/ontology/speaker,37,what is the speaker of <A>,what is the speaker of <A>
specialist,specialist,owl:Thing,PersonFunction,http://dbpedia.org/ontology/specialist,292,who is the specialist of <A>,who is the specialist of <A>
specialization,specialization,owl:Thing,owl:Thing,http://dbpedia.org/ontology/specialization,22,what is the specialization of <A>,what is the specialization of <A>
sport,sport,owl:Thing,Sport,http://dbpedia.org/ontology/sport,3934,what is the sport of <A>,what is the sport of <A>
sportGoverningBody,sport governing body,owl:Thing,owl:Thing,http://dbpedia.org/ontology/sportGoverningBody,257,what is the sport governing body of <A>,what is the sport governing body of <A>
stadium,Stadium,owl:Thing,Stadium,http://dbpedia.org/ontology/stadium,3178,what is the Stadium of <A>,what is the Stadium of <A>
startYear,start year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/startYear,31,what is the start year of <A>,what is the start year of <A>
state,state,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/state,44776,what is the state of <A>,what is the state of <A>
status,status,owl:Thing,xsd:string,http://dbpedia.org/ontology/status,56133,what is the status of <A>,what is the status of <A>
subdivision,subdivision,owl:Thing,owl:Thing,http://dbpedia.org/ontology/subdivision,435018,what is the subdivision of <A>,what is the subdivision of <A>
subdivisions,subdivisions,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/subdivisions,2,what is the subdivisions of <A>,what is the subdivisions of <A>
subregion,subregion,Place,Place,http://dbpedia.org/ontology/subregion,132,what is the subregion of <A>,what is the subregion of <A>
subtitle,subtitle,owl:Thing,xsd:string,http://dbpedia.org/ontology/subtitle,443,what is the subtitle of <A>,what is the subtitle of <A>
successfulLaunches,successful launches,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/successfulLaunches,271,what is the successful launches of <A>,what is the successful launches of <A>
successor,successor,owl:Thing,owl:Thing,http://dbpedia.org/ontology/successor,212248,what is the successor of <A>,what is the successor of <A>
sudocId,SUDOC id,owl:Thing,xsd:string,http://dbpedia.org/ontology/sudocId,151,what is the SUDOC id of <A>,what is the SUDOC id of <A>
synonym,synonym,owl:Thing,xsd:string,http://dbpedia.org/ontology/synonym,62611,what is the synonym of <A>,what is the synonym of <A>
taoiseach,taoiseach,owl:Thing,Person,http://dbpedia.org/ontology/taoiseach,862,who is the taoiseach of <A>,who is the taoiseach of <A>
team,team,owl:Thing,SportsTeam,http://dbpedia.org/ontology/team,1921540,what is the team of <A>,what is the team of <A>
teamSize,team size,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/teamSize,99,what is the team size of <A>,what is the team size of <A>
televisionSeries,television series,owl:Thing,TelevisionShow,http://dbpedia.org/ontology/televisionSeries,2141,what is the television series of <A>,what is the television series of <A>
temperature,temperature,owl:Thing,Temperature,http://dbpedia.org/ontology/temperature,329,what is the temperature of <A>,what is the temperature of <A>
tennisSurfaceType,type of tennis surface,owl:Thing,xsd:string,http://dbpedia.org/ontology/tennisSurfaceType,6992,what is the type of tennis surface of <A>,what is the type of tennis surface of <A>
termPeriod,term period,owl:Thing,TimePeriod,http://dbpedia.org/ontology/termPeriod,159154,what is the term period of <A>,what is the term period of <A>
thumbnail,thumbnail,owl:Thing,Image,http://dbpedia.org/ontology/thumbnail,1695460,what is the thumbnail of <A>,what is the thumbnail of <A>
time,time,owl:Thing,xsd:string,http://dbpedia.org/ontology/time,18917,what is the time of <A>,what is the time of <A>
timeInSpace,total time person has spent in space,owl:Thing,Time,http://dbpedia.org/ontology/timeInSpace,122,what is the total time person has spent in space of <A>,what is the total time person has spent in space of <A>
timeZone,time zone,Place,owl:Thing,http://dbpedia.org/ontology/timeZone,295806,what is the time zone of <A>,what is the time zone of <A>
title,title,owl:Thing,rdf:langString,http://dbpedia.org/ontology/title,336273,what is the title of <A>,what is the title of <A>
topSpeed,top speed,owl:Thing,Speed,http://dbpedia.org/ontology/topSpeed,22233,what is the top speed of <A>,what is the top speed of <A>
totalLaunches,total launches,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/totalLaunches,374,what is the total launches of <A>,what is the total launches of <A>
type,type,owl:Thing,owl:Thing,http://dbpedia.org/ontology/type,445639,what is the type of <A>,what is the type of <A>
ulanId,ULAN id,owl:Thing,xsd:string,http://dbpedia.org/ontology/ulanId,10,what is the ULAN id of <A>,what is the ULAN id of <A>
university,university,owl:Thing,EducationalInstitution,http://dbpedia.org/ontology/university,3919,what is the university of <A>,what is the university of <A>
utcOffset,UTC offset,Place,xsd:string,http://dbpedia.org/ontology/utcOffset,329619,what is the UTC offset of <A>,what is the UTC offset of <A>
variantOf,variant or variation,owl:Thing,owl:Thing,http://dbpedia.org/ontology/variantOf,4688,what is the variant or variation of <A>,what is the variant or variation of <A>
vehicle,vehicle,owl:Thing,Automobile,http://dbpedia.org/ontology/vehicle,39,what is the vehicle of <A>,what is the vehicle of <A>
viceChancellor,vice chancellor,owl:Thing,Person,http://dbpedia.org/ontology/viceChancellor,486,who is the vice chancellor of <A>,who is the vice chancellor of <A>
vicePresident,vice president,owl:Thing,Person,http://dbpedia.org/ontology/vicePresident,1389,who is the vice president of <A>,who is the vice president of <A>
vicePrimeMinister,vice prime minister,owl:Thing,Person,http://dbpedia.org/ontology/vicePrimeMinister,28,who is the vice prime minister of <A>,who is the vice prime minister of <A>
victim,victim (resource),owl:Thing,owl:Thing,http://dbpedia.org/ontology/victim,91,what is the victim (resource) of <A>,what is the victim (resource) of <A>
victims,victims (string),owl:Thing,xsd:string,http://dbpedia.org/ontology/victims,123,what is the victims (string) of <A>,what is the victims (string) of <A>
voice,voice,owl:Thing,Person,http://dbpedia.org/ontology/voice,3896,who is the voice of <A>,who is the voice of <A>
volume,volume,owl:Thing,Volume,http://dbpedia.org/ontology/volume,4233,what is the volume of <A>,what is the volume of <A>
webcast,webcast,owl:Thing,owl:Thing,http://dbpedia.org/ontology/webcast,8699,what is the webcast of <A>,what is the webcast of <A>
websiteLabel,label of a website,owl:Thing,rdf:langString,http://dbpedia.org/ontology/websiteLabel,13,what is the label of a website of <A>,what is the label of a website of <A>
weight,weight,owl:Thing,Mass,http://dbpedia.org/ontology/weight,107366,what is the weight of <A>,what is the weight of <A>
width,width,owl:Thing,Length,http://dbpedia.org/ontology/width,19674,what is the width of <A>,what is the width of <A>
wikiPageDisambiguates,Wikipage disambiguates,owl:Thing,owl:Thing,http://dbpedia.org/ontology/wikiPageDisambiguates,327109,what is the Wikipage disambiguates of <A>,what is the Wikipage disambiguates of <A>
wikiPageExternalLink,Link from a Wikipage to an external page,owl:Thing,owl:Thing,http://dbpedia.org/ontology/wikiPageExternalLink,2819399,what is the Link from a Wikipage to an external page of <A>,what is the Link from a Wikipage to an external page of <A>
wikiPageInterLanguageLink,Link from a Wikipage to a Wikipage in a different language about the same or a related subject.,owl:Thing,owl:Thing,http://dbpedia.org/ontology/wikiPageInterLanguageLink,36026,what is the Link from a Wikipage to a Wikipage in a different language about the same or a related subject. of <A>,what is the Link from a Wikipage to a Wikipage in a different language about the same or a related subject. of <A>
wikiPageLength,page length (characters) of wiki page,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/wikiPageLength,16065936,what is the page length (characters) of wiki page of <A>,what is the page length (characters) of wiki page of <A>
wikiPageRedirects,Wikipage redirect,owl:Thing,owl:Thing,http://dbpedia.org/ontology/wikiPageRedirects,9831591,what is the Wikipage redirect of <A>,what is the Wikipage redirect of <A>
wins,wins,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/wins,2156,what is the wins of <A>,what is the wins of <A>
year,year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/year,26467,what is the year of <A>,what is the year of <A>
yearOfConstruction,year of construction,Place,xsd:gYear,http://dbpedia.org/ontology/yearOfConstruction,58119,what is the year of construction of <A>,what is the year of construction of <A>